name,address1,address2,city,zip,hours,type
Amalgamated Bank,94 East Burnside Avenue,,Bronx,10453,,financial
Amalgamated Bank,2067 Bartow Avenue,,Bronx,10475,,financial
Amalgamated Bank,3770 East Tremont Avenue,,Bronx,10465,,financial
Amalgamated Bank,1212 Fulton Street,,Brooklyn,11216,,financial
Amalgamated Bank,4502 5th Avenue,,Brooklyn,11220,,financial
Amalgamated Bank,1745 Broadway,,New York,10019,,financial
Amalgamated Bank,10 East 14th Street,,New York,10003,,financial
Amalgamated Bank,564 West 125th Street,,New York,10027,,financial
Amalgamated Bank,619 Main Street,,New York,10044,,financial
Amalgamated Bank,275 7th Avenue,,New York,10001,,financial
Amalgamated Bank,301 3rd Avenue,,New York,10010,,financial
Amalgamated Bank,52 Broadway,,New York,10004,,financial
Amalgamated Bank,158-11 Harry Van Arsdale Jr. Avenue,,Flushing,11365,,financial
Amalgamated Bank,36-16 21st Street,,Long Island City ,11106,,financial
"Bethex, A Division of USAlliance","20 East 179th Street, LL",,Bronx,10453,,financial
Brooklyn Cooperative Federal Credit Union,1474 Myrtle Avenue,,Brooklyn ,11237,,financial
Brooklyn Cooperative Federal Credit Union,834 Dekalb Avenue,,Brooklyn ,11221,,financial
Carver Federal Savings Bank,4 Hanson Place,,Brooklyn ,11217,,financial
Carver Federal Savings Bank,1392 Fulton Street,,Brooklyn ,11216,,financial
Carver Federal Savings Bank,1009 Nostrand Avenue,,Brooklyn ,11225,,financial
Carver Federal Savings Bank,833 Flatbush Avenue,,Brooklyn ,11226,,financial
Carver Federal Savings Bank,300 West 145th Street,,New York,10039,,financial
Carver Federal Savings Bank,142 Malcolm X Boulevard,,New York,10026,,financial
Carver Federal Savings Bank,75 West 125th Street,,New York,10027,,financial
Carver Federal Savings Bank,160 East 125th Street,,New York,10035,,financial
Carver Federal Savings Bank,158-45 Archer Avenue,,Jamaica,11433,,financial
Carver Federal Savings Bank,115-02 Merrick Boulevard,,Jamaica,11434,,financial
East West Bank,77 Bowery,,New York,10002,,financial
East West Bank,208 Canal Street,,New York,10013,,financial
East West Bank,38-05 Union Street,,Flushing,11354,,financial
East West Bank,41-80 Main Street,Suite 104,Flushing,11355,,financial
East West Bank,1322-1328 Avenue U,,Brooklyn,11229,,financial
East West Bank,5801 8th Avenue,,Brooklyn,11220,,financial
First Republic Bank,320 Park Avenue,(at 51st Street),New York,10022,,financial
First Republic Bank,575 Madison Avenue,(at 56th Street),New York,10022,,financial
First Republic Bank,443 Park Avenue South,(at 30th Street),New York,10016,,financial
First Republic Bank,148 East 79th Street,(at Lexington),New York,10075,,financial
First Republic Bank,10 Columbus Circle,(at Time Warner Center),New York,10019,,financial
First Republic Bank,2160 Broadway,(at 76th Street),New York,10024,,financial
First Republic Bank,1230 Avenue of the Americas,(at 48th Street),New York,10020,,financial
First Republic Bank,442 6th Avenue,(at 10th Street),New York,10011,,financial
Lower East Side People's Federal Credit Union,37 Avenue B,,New York,10009,,financial
Lower East Side People's Federal Credit Union,2052 Adam Clayton Powell Jr. Boulevard,,New York,10027,,financial
Lower East Side People's Federal Credit Union,237 East 104th Street,,New York,10029,,financial
Melrose Credit Union,139-30 Queens Boulevard,,Briarwood,11435,,financial
Neighborhood Trust Federal Credit Union,1112 St. Nicholas Avenue,,New York,10032,,financial
PNC Bank,"340 Madison Avenue, 1st Floor",,New York,10017,,financial
PNC Bank,625 8th Avenue,,New York,10018,,financial
PNC Bank,11 Penn Plaza,7th & West 31st Street,New York,10001,,financial
PNC Bank,200 Broadway,Fulton Building,New York,10038,,financial
Spring Bank,69 East 167th Street,,Bronx,10452,,financial
Spring Bank,2049 8th Avenue,,New York,10026,,financial
University Settlement Federal Credit Union,184 Eldridge Street,,New York,10002,,financial
University Settlement Federal Credit Union,121 6th Avenue,,New York,10013,,financial
Urban Upbound Federal Credit Union,13-03B 40th Avenue,,Long Island City ,11101,,financial
USALLIANCE,350 W 31st Street,,New York,10001,,financial
USALLIANCE,156 E. 117th Street,,New York,10035,,financial
Bronx County Historical Society,3309 Bainbridge Ave,,Bronx,10467,,cultural
Bronx Museum of the Arts,1040 Grand Concourse,,Bronx,10456,,cultural
New York Botanical Garden,2900 Southern Blvd,,Bronx,10458,,cultural
Pregones/Puerto Rican Traveling Theater,571 Walton Ave,,Bronx,10451,,cultural
Wave Hill,W 249th St,,Bronx,10471,,cultural
Wildlife Conservation Society / Bronx Zoo,2300 Southern Blvd,,Bronx,10460,,cultural
BRIC,647 Fulton St.,,Brooklyn,11217,,cultural
Brooklyn Academy of Music,30 Lafayette Ave,,Brooklyn,11217,,cultural
Brooklyn Children's Museum,145 Brooklyn Ave,,Brooklyn,11213,,cultural
Center for Performance Research,361 Manhattan Ave,,Brooklyn,11211,,cultural
American Museum of Natural History,Central Park W & 79th St,,New York,10024,,cultural
Carnegie Hall,57th Street and Seventh Avenue,,New York,10019,,cultural
China Institute,100 Washington St,,New York,10006,,cultural
The Drawing Center,35 Wooster St,,New York,10013,,cultural
Film Forum,209 W Houston St,,New York,10014,,cultural
"Lincoln Center for the Performing Arts, Inc.",10 Lincoln Center Plaza,,New York,10023,,cultural
Metropolitan Museum of Art,1000 5th Ave,,New York,10028,,cultural
Metropolitan Opera,30 Lincoln Center Plaza,,New York,10023,,cultural
Museum at Eldridge Street,12 Eldridge St,,New York,10002,,cultural
Museum of Arts and Design, 2 Columbus Circle,,New York,10019,,cultural
Museum of Chinese in America,215 Centre St,,New York,10013,,cultural
Museum of Jewish Heritage,36 Battery Pl,,New York,10280,,cultural
Museum of Modern Art,11 W 53rd St,,New York,10019,,cultural
Museum of the City of New York,1220 5th Ave,,New York,10029,,cultural
New York City Ballet,20 Lincoln Center Plaza,,New York,10023,,cultural
New York City Center,130 W 56th St,,New York,10019,,cultural
Park Avenue Armory,643 Park Ave,,New York,10065,,cultural
The Studio Museum in Harlem,144 W 125th St,,New York,10027,,cultural
Sugar Hill Children's Museum of Art & Storytelling,898 St Nicholas Ave,,New York,10032,,cultural
Symphony Space,2537 Broadway,,New York,10025,,cultural
The Public Theater,425 Lafayette St,,New York,10003,,cultural
Flushing Town Hall,137-35 Northern Blvd,,Flushing,11354,,cultural
Jamaica Center for Arts & Learning,161-04 Jamaica Ave,,Jamaica,11432,,cultural
MoMA PS1,22-25 Jackson Ave,,Long Island City,11101,,cultural
Queens Museum,Flushing Meadows Corona Park,,Queens,11368,,cultural
Queens Theatre in the Park,14 United Nations Ave S,,Queens,11368,,cultural
St. George Theatre,35 Hyatt St,,Staten Island,10301,,cultural
Jacques Marchais Center for Tibetan Art,338 Lighthouse Ave,,Staten Island,10306,,cultural
Staten Island Museum,75 Stuyvesant Pl,,Staten Island,10301,,cultural
Snug Harbor Cultural Center & Botanical Garden,1000 Richmond Terrace,,Staten Island,10301,,cultural
Bronx - Bronx Library Center,310 East Kingsbridge Road,(at Kingsbridge and Briggs),Bronx,10458,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<b>Sun: 12:00pm - 6:00pm,permanent
Bronx - Department of Finance,"3030 Third Avenue, 2nd Floor",(at E156th St and Third Ave),Bronx,10455,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
Bronx - Lincoln Hospital,"234 East 149th Street, 1st Floor",(entrance on Morris Avenue),Bronx,10451,Mon-Fri: 8:00am - 4:00pm,permanent
Brooklyn - Central Library at Grand Army Plaza,10 Grand Army Plaza,(at Eastern Parkway and Flatbush Ave),Brooklyn,11238,Mon - Fri: 9:00am - 6:00pm<br>Sat: 10am - 2:00pm<br>Sun: 1:00pm - 5:00pm,permanent
Brooklyn - Coney Island IDNYC Center,"2865 West 8th Street, 1st Floor",,Brooklyn,11224,"Mon, Tue, Wed, Thu, Fri: 9:00am - 5:00pm",permanent
Brooklyn - Department of Finance,"210 Joralemon Street, 1st Floor",(at Joralemon St and Court St),Brooklyn,11201,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
Brooklyn - Asian Americans for Equality,"807 48th Street, 2nd Floor",,Brooklyn,11220,Tue-Sat: 9:00am - 5:00pm,permanent
Manhattan - Department of Finance,66 John St 2nd Floor,(at John St and William St),New York,10038,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
Manhattan - Grand Central Library,"135 E. 46th Street, 2nd Floor",,New York,10017,"Mon-Thu: 10:00am - 7:00pm<br>Fri: 10:00am - 6:00pm<br>Sat, Sun: 10:00am - 2:00pm",permanent
Manhattan - Neighborhood Trust Federal Credit Union,1112 St. Nicholas Ave,(at W 166th St and St. Nicholas Ave),New York,10032,"Mon, Tue, Fri: 9:00am - 4:00pm<br>Wed: 9:00am - 1:00pm<br>Thu: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm",permanent
Manhattan - East Harlem Health Center,"158 East 115th Street, Room 220",,New York,10029,Mon - Fri: 9:00am - 5:00pm,permanent
Manhattan - IDNYC Centre Street Office,"100 Centre Street, 14th Floor",,New York,10013,"Mon, Wed, Thu, Fri: 9:00am - 5:00pm<br>Tue: 10:00am - 6:00pm",permanent
Manhattan - Metropolitan Hospital,1901 First Ave,,New York,10029,Mondays - Fridays: 9:00am - 5:00pm ,permanent
Manhattan- CBIC,109 East 16th St. 1 FL,,New York,10003,Monday - Friday: 9:00am-5:00pm<br>,Permanent 
Queens - Central Library in Jamaica,89-11 Merrick Blvd,(at 89th Ave and Merrick Blvd),Jamaica,11432,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<br>Sun: 12:00pm - 5:00pm,Permanent
Queens - DOHMH Corona IDNYC Center,"34-33 Junction Blvd., Lower Level",(at 34th Road and Junction Blvd),Jackson Heights,11372,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
Queens - Flushing Library,41-17 Main St,(at 41st Rd and Main St),Flushing,11355,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<br>Sun: 12:00pm - 5:00pm,permanent
Queens -  Long Island City Community Library  ,"37-44 21st Street, 2nd Floor",,Long Island City,11101,"Mon: 9:00am - 8:00pm<br>Tues: 1:00pm - 6:00pm<br>Wed, Fri: 10:00am – 6:00pm<br>Thurs: 12:00pm - 8:00pm",permanent
Staten Island - Department of Finance,"350 St. Marks Place, 1st Floor",(at St Marks Pl and Hyatt St),Staten Island,10301,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
